100,8,364
1000,8,806
10000,8,993
100000,10,278
1000000,22,742
10000000,143,243
100000000,1250,164
1000000000,12235,571
100,7,998
1000,8,546
10000,8,743
100000,10,046
1000000,22,285
10000000,141,612
100000000,1254,149
1000000000,12342,595
100,7,622
1000,7,995
10000,8,176
100000,9,544
1000000,21,736
10000000,141,020
100000000,1255,118
1000000000,12293,545
100,8,470
1000,8,865
10000,9,045
100000,10,384
1000000,22,801
10000000,141,732
100000000,1259,598
1000000000,12320,360
100,7,719
1000,8,101
10000,8,276
100000,9,617
1000000,22,024
10000000,142,587
100000000,1257,725
1000000000,12371,152
100,19,561
1000,20,716
10000,21,148
100000,24,420
1000000,56,692
10000000,378,632
100000000,2980,565
100,18,898
1000,20,239
10000,20,687
100000,23,899
1000000,53,392
10000000,349,318
100000000,2872,052
1000000000,27983,971
100,19,214
1000,20,580
10000,21,260
100000,25,662
1000000,67,357
10000000,476,298
100000000,4241,130
1,100,17,920
1,1000,19,284
1,10000,19,724
1,100000,22,989
1,1000000,52,586
1,10000000,333,849
1,100000000,2954,991
2,100,0,050
2,1000,0,348
2,10000,0,738
2,100000,3,332
2,1000000,29,517
2,10000000,287,767
2,100000000,2851,276
3,100,0,028
3,1000,0,499
3,10000,0,911
3,100000,3,563
3,1000000,29,714
3,10000000,285,077
3,100000000,2849,057
4,100,0,167
4,1000,0,442
4,10000,0,796
4,100000,3,336
4,1000000,29,451
4,10000000,285,138
4,100000000,2855,969
5,100,0,024
5,1000,0,546
5,10000,1,039
5,100000,3,598
5,1000000,30,049
5,10000000,291,115
5,100000000,2870,102
1,100,19,030
1,1000,20,052
1,10000,20,451
1,100000,23,606
1,1000000,53,371
1,10000000,344,142
1,100000000,2962,009
2,100,0,026
2,1000,0,196
2,10000,0,525
2,100000,3,118
2,1000000,31,451
2,10000000,289,050
2,100000000,2862,761
3,100,0,022
3,1000,0,135
3,10000,0,456
3,100000,2,992
3,1000000,29,104
3,10000000,285,087
3,100000000,2835,937
4,100,0,019
4,1000,1,074
4,10000,1,429
4,100000,3,991
4,1000000,29,949
4,10000000,286,047
4,100000000,2854,855
5,100,0,023
5,1000,0,139
5,10000,0,469
5,100000,3,044
5,1000000,29,040
5,10000000,324,407
5,100000000,2865,538
1,100,0,175
1,1000,0,332
1,10000,0,795
1,100000,4,743
1,1000000,44,659
1,10000000,424,264
1,100000000,4169,396
2,100,0,029
2,1000,0,442
2,10000,0,930
2,100000,4,837
2,1000000,43,063
2,10000000,420,993
2,100000000,4158,254
3,100,0,014
3,1000,0,521
3,10000,1,014
3,100000,4,935
3,1000000,42,967
3,10000000,421,351
3,100000000,4286,733
4,100,0,027
4,1000,0,753
4,10000,1,633
4,100000,5,608
4,1000000,48,655
4,10000000,507,387
4,100000000,4351,859
5,100,0,039
5,1000,0,446
5,10000,0,903
5,100000,4,675
5,1000000,42,909
5,10000000,421,678
5,100000000,4176,420
1,100,16,324
1,1000,17,287
1,10000,17,663
1,100000,20,410
1,1000000,44,210
1,10000000,278,733
